,start_station_and_time,end_station_and_time,inspector_id
0,source_1,RDRM@Mon11:51:00,1
1,RDRM@Mon11:51:00,RK@Mon11:58:00,1
2,RK@Mon11:58:00,RK@Mon12:00:00,1
3,RK@Mon12:00:00,RGN@Mon12:08:00,1
4,RGN@Mon12:08:00,RSAB@Mon12:11:00,1
5,RSAB@Mon12:11:00,RP@Mon12:19:00,1
6,RP@Mon12:19:00,RM@Mon12:23:00,1
7,RM@Mon12:23:00,RM@Mon12:27:00,1
8,RM@Mon12:27:00,RM@Mon12:30:00,1
9,RM@Mon12:30:00,RP@Mon12:34:00,1
10,RP@Mon12:34:00,RSAB@Mon12:41:00,1
11,RSAB@Mon12:41:00,RROL@Mon12:45:00,1
12,RROL@Mon12:45:00,TV@Mon12:54:00,1
13,TV@Mon12:54:00,TV@Mon13:05:00,1
14,TV@Mon13:05:00,RROL@Mon13:13:00,1
15,RROL@Mon13:13:00,RSAB@Mon13:17:00,1
16,RSAB@Mon13:17:00,RP@Mon13:24:00,1
17,RP@Mon13:24:00,RM@Mon13:29:00,1
18,RM@Mon13:29:00,RM@Mon13:32:00,1
19,RM@Mon13:32:00,FLP@Mon13:40:00,1
20,FLP@Mon13:40:00,FGE@Mon13:50:00,1
21,FGE@Mon13:50:00,FMST@Mon14:06:00,1
22,FMST@Mon14:06:00,FF@Mon14:08:00,1
23,FF@Mon14:08:00,FF@Mon14:13:00,1
24,FF@Mon14:13:00,FMST@Mon14:15:00,1
25,FMST@Mon14:15:00,FFS@Mon14:17:00,1
26,FFS@Mon14:17:00,FO@Mon14:20:00,1
27,FO@Mon14:20:00,FHN@Mon14:27:00,1
28,FHN@Mon14:27:00,FHN@Mon14:29:00,1
29,FHN@Mon14:29:00,FO@Mon14:37:00,1
30,FO@Mon14:37:00,FFS@Mon14:40:00,1
31,FFS@Mon14:40:00,FMST@Mon14:42:00,1
32,FMST@Mon14:42:00,FF@Mon14:44:00,1
33,FF@Mon14:44:00,FF@Mon14:50:00,1
34,FF@Mon14:50:00,FMST@Mon14:52:00,1
35,FMST@Mon14:52:00,FGE@Mon15:08:00,1
36,FGE@Mon15:08:00,FLP@Mon15:19:00,1
37,FLP@Mon15:19:00,FLP@Mon15:24:00,1
38,FLP@Mon15:24:00,FGE@Mon15:34:00,1
39,FGE@Mon15:34:00,FMST@Mon15:51:00,1
40,FMST@Mon15:51:00,FMST@Mon15:52:00,1
41,FMST@Mon15:52:00,FGE@Mon16:08:00,1
42,FGE@Mon16:08:00,FLP@Mon16:19:00,1
43,FLP@Mon16:19:00,RM@Mon16:27:00,1
44,RM@Mon16:27:00,RM@Mon16:30:00,1
45,RM@Mon16:30:00,RP@Mon16:34:00,1
46,RP@Mon16:34:00,RSAB@Mon16:41:00,1
