,start_station_and_time,end_station_and_time,inspector_id
0,source_1,RDRM@Mon10:43:00,1
1,RDRM@Mon10:43:00,RK@Mon10:49:00,1
2,RK@Mon10:49:00,RK@Mon10:51:00,1
3,RK@Mon10:51:00,RGN@Mon11:00:00,1
4,RGN@Mon11:00:00,RSAB@Mon11:02:00,1
5,RSAB@Mon11:02:00,RP@Mon11:10:00,1
6,RP@Mon11:10:00,RM@Mon11:14:00,1
7,RM@Mon11:14:00,RM@Mon11:16:00,1
8,RM@Mon11:16:00,FLP@Mon11:24:00,1
9,FLP@Mon11:24:00,FGE@Mon11:34:00,1
10,FGE@Mon11:34:00,FGE@Mon11:35:00,1
11,FGE@Mon11:35:00,FLP@Mon11:47:00,1
12,FLP@Mon11:47:00,RM@Mon11:54:00,1
13,RM@Mon11:54:00,RM@Mon11:56:00,1
14,RM@Mon11:56:00,RP@Mon12:00:00,1
15,RP@Mon12:00:00,RM@Mon12:04:00,1
16,RM@Mon12:04:00,RM@Mon12:06:00,1
17,RM@Mon12:06:00,FLP@Mon12:13:00,1
18,FLP@Mon12:13:00,FGE@Mon12:24:00,1
19,FGE@Mon12:24:00,FLP@Mon12:36:00,1
20,FLP@Mon12:36:00,RM@Mon12:43:00,1
21,RM@Mon12:43:00,RM@Mon12:45:00,1
22,RM@Mon12:45:00,RP@Mon12:49:00,1
23,RP@Mon12:49:00,RSAB@Mon12:57:00,1
24,RSAB@Mon12:57:00,RGN@Mon12:59:00,1
25,RGN@Mon12:59:00,RGN@Mon13:00:00,1
26,RGN@Mon13:00:00,RSAB@Mon13:02:00,1
27,RSAB@Mon13:02:00,RP@Mon13:10:00,1
28,RP@Mon13:10:00,RM@Mon13:14:00,1
29,RM@Mon13:14:00,RM@Mon13:16:00,1
30,RM@Mon13:16:00,FLP@Mon13:24:00,1
31,FLP@Mon13:24:00,FGE@Mon13:34:00,1
32,FGE@Mon13:34:00,FGE@Mon13:35:00,1
33,FGE@Mon13:35:00,FLP@Mon13:47:00,1
