StartLocationDS100, NumberOfInspectors
BHF  ,48
TS   ,7
AA   ,16
EMSTP,4
BGS  ,4
HB   ,13
EDO  ,22
RM   ,2
MOF  ,2
AL   ,2
FKW  ,22
HG   ,2
WR   ,2
DH   ,2
RK   ,2
KK   ,44
AH   ,11
MH   ,15
WGW  ,2
LL   ,2
MDT  ,2
NN   ,20
BL   ,4
BLS  ,2
EDG  ,2
FFU  ,7
HOLD ,3
FF   ,9
KKO  ,6
HH   ,40
