StartLocationDS100, NumberOfInspectors
BHF  ,6
XNAC ,11
TS   ,21
AA   ,12
EMSTP,10
HH   ,6
RB   ,24
HB   ,4
EDO  ,71
EE   ,2
FD   ,2
FKW  ,3
KA   ,2
XFPO ,4
DH   ,2
RK   ,26
KK   ,89
AH   ,2
MH   ,51
FF   ,55
RM   ,16
NPA  ,3
SSH  ,2
NN   ,40
BL   ,1
XSB  ,4
FFU  ,3
XBB  ,4
FMZ  ,4
BGS  ,2
