Verkaufsstellennr.;Name 1;Name 2;Name 3;Strasse;PLZ;Ort;Adresszusatz;Typ;Öffnungszeiten Montag 1;Öffnungszeiten Montag 2;Öffnungszeiten Montag 3;Öffnungszeiten Dienstag 1;Öffnungszeiten Dienstag 2;Öffnungszeiten Dienstag 3;Öffnungszeiten Mittwoch 1;Öffnungszeiten Mittwoch 2;Öffnungszeiten Mittwoch 3;Öffnungszeiten Donnerstag 1;Öffnungszeiten Donnerstag 2;Öffnungszeiten Donnerstag 3;Öffnungszeiten Freitag 1;Öffnungszeiten Freitag 2;Öffnungszeiten Freitag 3;Öffnungszeiten Samstag 1;Öffnungszeiten Samstag 2;Öffnungszeiten Samstag 3;Öffnungszeiten Sonntag 1;Öffnungszeiten Sonntag 2;Öffnungszeiten Sonntag 3;Koord_Lat;Koord_Lon
500272;Reisezentrum Eutin;;;Bahnhofstr. 23-25;23701;Eutin;;Reisezentrum;07:00-12:30;13:30-17:30;;07:00-12:30;13:30-17:30;;07:00-12:30;13:30-17:30;;07:00-12:30;13:30-17:30;;07:00-12:30;13:30-17:30;;07:00-12:30;;;;;;54137049;10609015
500157;Reisezentrum Flensburg;;;Am Bundesbahnhof 1;24937;Flensburg;;Reisezentrum;06:00-19:00;;;06:00-19:00;;;06:00-19:00;;;06:00-19:00;;;06:00-19:00;;;07:30-12:15;12:45-15:30;;07:30-12:15;12:45-15:30;;54774402;9437927
500710;Reisezentrum Goslar;;;Hildesheimer Str. 53;38640;Goslar;;Reisezentrum;07:45-12:30;13:30-17:45;;07:45-12:30;13:30-17:45;;07:45-12:30;13:30-17:45;;07:45-12:30;13:30-17:45;;07:45-12:30;13:30-17:45;;09:00-14:00;;;;;;51911994;10422551
500017;Reisezentrum Göttingen;;;Bahnhofplatz 1;37073;Göttingen;;Reisezentrum;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;09:00-17:00;;;10:00-17:00;;;51536650;9927255
500116;Reisezentrum Hamburg Dammtor;;;Theodor-Heuss-Platz;20354;Hamburg;;Reisezentrum;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;07:00-20:00;;;08:00-20:00;;;53560800;9989680
500173;Reisezentrum Hamburg Hbf;;;Hachmannplatz 10;20099;Hamburg;;Reisezentrum;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;08:00-20:15;;;08:00-20:15;;;53553722;10008010
500132;Reisezentrum Hamburg-Altona;;;Paul-Nevermann-Platz 15;22765;Hamburg;;Reisezentrum;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;07:00-20:00;;;08:00-20:00;;;53552295;9934459
500108;Reisezentrum Hamburg-Bergedorf;;;Weidenbaumsweg 14;21029;Hamburg;;Reisezentrum;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;;;;;;;53489151;10206024
500124;Reisezentrum Hamburg-Harburg;;;Hannoversche Str. 85;21079;Hamburg;;Reisezentrum;07:40-18:30;;;07:40-18:30;;;07:40-18:30;;;07:40-18:30;;;07:40-18:30;;;08:00-13:30;;;09:00-14:30;;;53456008;9990332
500819;Reisezentrum Hameln;;;Bahnhofplatz 21;31785;Hameln;;Reisezentrum;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;08:30-14:00;;;10:00-15:30;;;52101100;9373978
500314;Reisezentrum Hannover Hbf;;;Ernst-August-Platz 1;30159;Hannover;;Reisezentrum;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;08:00-20:00;;;52376082;9740381
500280;Reisezentrum Heide (Holstein);;;Güterstraße 13;25746;Heide (Holst);;Reisezentrum;07:45-13:00;13:45-17:30;;07:45-13:00;13:45-17:30;;07:45-13:00;13:45-17:30;;07:45-13:00;13:45-17:30;;07:45-13:00;13:45-17:30;;08:00-13:00;;;;;;54194328;9100823
500629;Reisezentrum Helmstedt;;;Bahnhofstr. 3 ;38350;Helmstedt;;Reisezentrum;06:30-18:00;;;06:30-12:00;13:00-17:00;;06:30-12:00;13:00-17:00;;06:30-18:00;;;06:30-12:00;13:00-17:00;;06:30-12:00;13:00-15:00;;;;;52223740;11013152
500009;Reisezentrum Hildesheim Hbf;;;Bahnhofplatz 1;31134;Hildesheim;;Reisezentrum;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;09:00-14:00;;;10:00-15:00;;;52159620;9953755
500298;Reisezentrum Husum;;;Poggenburgstr. 12;25813;Husum;;Reisezentrum;08:00-17:00;;;08:00-17:00;;;08:00-17:00;;;08:00-17:00;;;08:00-17:00;;;08:00-13:00;;;;;;54472751;9052416
500306;Reisezentrum Itzehoe;;;Bahnhofstr. 32;25524;Itzehoe;;Reisezentrum;08:00-17:00;;;08:00-13:00;13:30-17:00;;08:00-13:00;13:30-17:00;;08:00-13:00;13:30-17:00;;08:00-17:00;;;08:00-12:00;;;;;;53924292;9511045
500074;Reisezentrum Kiel Hbf;;;Sophienblatt 25-27;24103;Kiel;;Reisezentrum;05:45-20:30;;;05:45-20:30;;;05:45-20:30;;;05:45-20:30;;;05:45-20:30;;;06:45-20:00;;;06:45-20:00;;;54315060;10132508
647461;Reisezentrum Königslutter;Video-Reisezentrum;;Bahnhofplatz 1;38154;Königslutter;;Reisezentrum;08:30-16:30;;;08:30-16:30;;;08:30-16:30;;;08:30-16:30;;;08:30-16:30;;;;;;;;;52256721;10812405
500470;Reisezentrum Leer (Ostfriesland);;;Bahnhofsring 8;26789;Leer (Ostfriesl);;Reisezentrum;08:00-17:30;;;08:00-17:30;;;08:00-17:30;;;08:00-17:30;;;08:00-17:30;;;08:00-13:00;;;;;;53231512;7464453
500827;Reisezentrum Lehrte;;;Bahnhofstr. 50;31275;Lehrte;;Reisezentrum;07:45-12:15;13:15-17:45;;07:45-12:15;13:15-17:45;;07:45-12:15;13:15-17:45;;07:45-12:15;13:15-17:45;;07:45-12:15;13:15-17:45;;07:00-12:30;;;;;;52375721;9973882
500322;Reisezentrum Lübeck Hbf;;;Am Bahnhof 2-4;23558;Lübeck;;Reisezentrum;05:45-20:00;;;05:45-20:00;;;05:45-20:00;;;05:45-20:00;;;05:45-20:00;;;06:30-19:30;;;08:30-19:30;;;53867142;10671223
500694;Reisezentrum Lüneburg;;;Bahnhofstr. 12;21337;Lüneburg;;Reisezentrum;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;09:00-14:00;;;10:00-15:00;;;53249627;10419483
500348;Reisezentrum Neumünster;;;Kuhberg 1-3;24534;Neumünster;;Reisezentrum;07:00-18:30;;;07:00-18:30;;;07:00-18:30;;;07:00-18:30;;;07:00-18:30;;;08:00-15:30;;;10:00-15:30;;;54075922;9980750
507053;Reisezentrum Neustadt (Holstein);;;Bahnhofstraße 16;23730;Neustadt (Holst);;Reisezentrum;08:30-12:20;12:50-16:40;;08:30-12:20;12:50-16:40;;08:30-12:20;12:50-16:40;;08:30-12:20;12:50-16:40;;08:30-12:20;12:50-16:40;;;;;;;;54104346;10809351
500835;Reisezentrum Neustadt am Rübenberge;;;Am Bahnhof 1;31535;Neustadt (Rbge);;Reisezentrum;08:00-12:00;13:00-18:00;;08:00-12:00;13:00-18:00;;08:00-12:00;13:00-18:00;;08:00-12:00;13:00-18:00;;08:00-12:00;13:00-18:00;;08:30-13:30;;;;;;52504078;9456292
500355;Reisezentrum Niebüll;;;Bahnhofstr. 1;25899;Niebüll;;Reisezentrum;06:15-16:30;;;06:15-16:30;;;06:15-16:30;;;06:15-16:30;;;06:15-16:30;;;08:15-13:00;;;;;;54787778;8833438
500843;Reisezentrum Nienburg (Weser);;;Bahnhofstr. 9a;31582;Nienburg (Weser);;Reisezentrum;08:30-13:00;14:00-18:30;;08:30-13:00;14:00-18:30;;08:30-13:00;14:00-18:30;;08:30-13:00;14:00-18:30;;08:30-13:00;14:00-18:30;;08:30-13:30;;;;;;52643968;9217026
500504;Reisezentrum Norden;;;Bahnhofstr. 14a;26506;Norden;;Reisezentrum;08:00-12:30;14:00-17:00;;08:00-12:30;14:00-17:00;;08:00-12:30;14:00-17:00;;08:00-12:30;14:00-17:00;;08:00-12:30;14:00-17:00;;;;;;;;53584743;7223920
500033;Reisezentrum Northeim (Hannover);;;Bahnhofstr.;37154;Northeim;;Reisezentrum;07:30-17:45;;;08:00-12:00;13:00-17:45;;08:00-12:00;13:00-17:45;;08:00-12:00;13:00-17:45;;08:00-12:00;13:00-17:45;;08:00-12:45;;;;;;51704856;9991671
500520;Reisezentrum Oldenburg (Oldb) Hbf;;;Bahnhofplatz 12b;26122;Oldenburg (Oldb);;Reisezentrum;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;08:00-16:00;;;09:00-16:00;;;53143426;8221165
500538;Reisezentrum Osnabrück Hbf;;;Theodor-Heuss-Platz 2;49074;Osnabrück;;Reisezentrum;07:30-19:00;;;07:30-19:00;;;07:30-19:00;;;07:30-19:00;;;07:30-19:00;;;09:00-18:00;;;10:00-18:30;;;52273106;8060293
500363;Reisezentrum Pinneberg;;;Bahnhofstr. 1;25421;Pinneberg;;Reisezentrum;09:00-13:00;13:30-17:00;;09:00-13:00;13:30-17:00;;09:00-13:00;13:30-17:00;;09:00-13:00;13:30-17:00;;09:00-13:00;13:30-17:00;;08:00-13:00;;;;;;53655400;9797800
507046;Reisezentrum Preetz;;;Bahnhofstraße 26;24211;Preetz;;Reisezentrum;08:30-12:15;12:45-16:15;;08:30-12:15;12:45-16:15;;08:30-12:15;12:45-16:15;;08:30-12:15;12:45-16:15;;08:30-12:15;12:45-16:15;;;;;;;;54234204;10277061
507061;Reisezentrum Ratzeburg;;;Bahnhof;23909;Ratzeburg;;Reisezentrum;08:00-12:45;13:15-16:00;;08:00-12:45;13:15-16:00;;08:00-12:45;13:15-16:00;;08:00-12:45;13:15-16:00;;08:00-12:45;13:15-16:00;;;;;;;;53698420;10741713
500389;Reisezentrum Rendsburg;;;Am Bahnhof 20;24768;Rendsburg;;Reisezentrum;07:30-13:00;14:00-18:00;;07:30-13:00;14:00-18:00;;07:30-13:00;14:00-18:00;;07:30-13:00;14:00-18:00;;07:30-13:00;14:00-18:00;;08:15-13:00;13:30-16:00;;08:15-13:00;13:30-16:00;;54302487;9669777
